Soort misdrijf,rank_order,year,incident_count,COVID,rel_frequency,prop_since2012,prop_sinceprevious,percentage_change_since2012,percentage_change_sinceprevious
Diefstal uit/vanaf motorvoertuigen,4,2012,99450,0,593.7322973907068,100,NA,0,NA
Diefstal uit/vanaf motorvoertuigen,4,2013,96122,0,572.2315334637183,96.37871073858058,96.37871073858058,-3.6212892614194203,-3.6212892614194203
Diefstal uit/vanaf motorvoertuigen,4,2014,84717,0,502.46622908650096,84.6284144040512,87.80820344608976,-15.371585595948801,-12.191796553910237
Diefstal uit/vanaf motorvoertuigen,4,2015,82098,0,484.98851132093745,81.68471101409358,96.5216134430888,-18.31528898590642,-3.478386556911204
Diefstal uit/vanaf motorvoertuigen,4,2016,77412,0,454.77364504715894,76.59573970386424,93.76998308857175,-23.40426029613576,-6.230016911428251
Diefstal uit/vanaf motorvoertuigen,4,2017,63759,0,372.375854492904,62.717803314624355,81.88158187009486,-37.282196685375645,-18.118418129905137
Diefstal uit/vanaf motorvoertuigen,4,2018,53478,0,310.55839452959304,52.30613121341275,83.39917606970165,-47.69386878658725,-16.600823930298347
Diefstal uit/vanaf motorvoertuigen,4,2019,48515,0,279.8579070965486,47.135368637759576,90.11442357578295,-52.864631362240424,-9.88557642421705
Diefstal uit/vanaf motorvoertuigen,4,2020,45250,1,259.5268668449806,43.71109134293875,92.73522750795317,-56.28890865706125,-7.264772492046831
Diefstal uit/vanaf motorvoertuigen,4,2021,38642,1,220.57851971246416,37.1511741372075,84.99255679922307,-62.8488258627925,-15.007443200776933
Diefstal uit/vanaf motorvoertuigen,4,2022,43210,0,244.15294957099746,41.1217228107657,110.6875455911409,-58.8782771892343,10.687545591140903
Diefstal uit/vanaf motorvoertuigen,4,2023,43515,0,243.50461307360405,41.01252603972213,99.73445477577371,-58.98747396027787,-0.2655452242262868
"Diefstal van brom-, snor-, fietsen",2,2012,123742,0,738.7593961158456,100,NA,0,NA
"Diefstal van brom-, snor-, fietsen",2,2013,122796,0,731.0266472109481,98.9532791128541,98.9532791128541,-1.046720887145895,-1.046720887145895
"Diefstal van brom-, snor-, fietsen",2,2014,127392,0,755.576541376436,102.27640356914708,103.35827623509375,2.276403569147078,3.3582762350937543
"Diefstal van brom-, snor-, fietsen",2,2015,123438,0,729.2018302569353,98.70626811528074,96.50932636534033,-1.2937318847192643,-3.4906736346596716
"Diefstal van brom-, snor-, fietsen",2,2016,110864,0,651.2947008798149,88.16059793000382,89.3161089091521,-11.839402069996183,-10.683891090847894
"Diefstal van brom-, snor-, fietsen",2,2017,91582,0,534.8723396880305,72.40142629660126,82.12447283318706,-27.598573703398742,-17.875527166812944
"Diefstal van brom-, snor-, fietsen",2,2018,82081,0,476.66224580918373,64.52198758016715,89.11701175035554,-35.47801241983285,-10.882988249644455
"Diefstal van brom-, snor-, fietsen",2,2019,81997,0,472.9982233988601,64.02601792758637,99.23131684069007,-35.973982072413634,-0.7686831593099299
"Diefstal van brom-, snor-, fietsen",2,2020,76291,1,437.5594298004511,59.22894952010018,92.50762648879446,-40.77105047989982,-7.4923735112055425
"Diefstal van brom-, snor-, fietsen",2,2021,71439,1,407.7922692857183,55.199605098731226,93.1970017128169,-44.800394901268774,-6.802998287183101
"Diefstal van brom-, snor-, fietsen",2,2022,92173,0,520.8125392457197,70.49826262569127,127.71515756244366,-29.501737374308732,27.715157562443665
"Diefstal van brom-, snor-, fietsen",2,2023,96927,0,542.3916265973852,73.41925252647917,104.1433501933187,-26.58074747352083,4.143350193318696
Diefstal/inbraak woning,6,2012,91595,0,546.8366996430547,100,NA,0,NA
Diefstal/inbraak woning,6,2013,87455,0,520.6353255141329,95.2085560193702,95.2085560193702,-4.7914439806297935,-4.7914439806297935
Diefstal/inbraak woning,6,2014,71143,0,421.9572805446479,77.16330685560767,81.04660976048075,-22.836693144392328,-18.95339023951925
Diefstal/inbraak woning,6,2015,64676,0,382.06919727877596,69.86897505748426,90.54689062021023,-30.131024942515737,-9.453109379789765
Diefstal/inbraak woning,6,2016,55495,0,326.0174576537499,59.618796226836345,85.32942722830178,-40.381203773163655,-14.670572771698218
Diefstal/inbraak woning,6,2017,49209,0,287.3985386179412,52.556556428187676,88.15434016517474,-47.443443571812324,-11.845659834825256
Diefstal/inbraak woning,6,2018,42887,0,249.05415060755186,45.54452010447011,86.6581130875675,-54.45547989552989,-13.3418869124325
Diefstal/inbraak woning,6,2019,39474,0,227.70506080035372,41.64041311583279,91.42793253791659,-58.35958688416721,-8.57206746208341
Diefstal/inbraak woning,6,2020,30571,1,175.33692478050608,32.06385469280985,77.00176893926712,-67.93614530719015,-22.998231060732877
Diefstal/inbraak woning,6,2021,23525,1,134.28677801966046,24.557016401297787,76.5878483313005,-75.44298359870221,-23.412151668699494
Diefstal/inbraak woning,6,2022,24414,0,137.9483941408547,25.226615958822798,102.72671380994647,-74.7733840411772,2.7267138099464745
Diefstal/inbraak woning,6,2023,22706,0,127.0599964253534,23.235455211453672,92.10690506162507,-76.76454478854633,-7.893094938374929
Horizontale fraude,5,2012,7961,0,47.52843458549438,100,NA,0,NA
Horizontale fraude,5,2013,5604,0,33.36161870883541,70.19296764092738,70.19296764092738,-29.807032359072622,-29.807032359072622
Horizontale fraude,5,2014,5521,0,32.7456832841882,68.89703725731826,98.15376037349147,-31.10296274268174,-1.8462396265085346
Horizontale fraude,5,2015,39318,0,232.26848751634165,488.6937462636939,709.3102486228967,388.6937462636939,609.3102486228967
Horizontale fraude,5,2016,65542,0,385.04074618509907,810.127136614369,165.77399297785018,710.127136614369,65.77399297785018
Horizontale fraude,5,2017,62362,0,364.21686409583714,766.3136126242115,94.59177183309028,666.3136126242115,-5.408228166909723
Horizontale fraude,5,2018,65263,0,378.9964565276344,797.4099290939063,104.05790996759234,697.4099290939063,4.057909967592337
Horizontale fraude,5,2019,84618,0,488.1174148757241,1027.000824101825,128.79207878296697,927.000824101825,28.792078782966968
Horizontale fraude,5,2020,125446,1,719.4830350991256,1513.7949342827944,147.39958320936117,1413.7949342827944,47.39958320936117
Horizontale fraude,5,2021,117640,1,671.5195139737665,1412.8795106134494,93.33361333269643,1312.8795106134494,-6.66638666730357
Horizontale fraude,5,2022,86734,0,490.0801186783359,1031.130360072721,72.98077099476238,931.130360072721,-27.01922900523762
Horizontale fraude,5,2023,88132,0,493.1758832449241,1037.6438600303507,100.63168540175367,937.6438600303507,0.6316854017536713
Mishandeling,7,2012,56461,0,337.08113869257613,100,NA,0,NA
Mishandeling,7,2013,51941,0,309.214103739404,91.73284062666367,91.73284062666367,-8.267159373336327,-8.267159373336327
Mishandeling,7,2014,49756,0,295.10853423076765,87.54821921374598,95.43825157453877,-12.45178078625402,-4.561748425461232
Mishandeling,7,2015,47471,0,280.4317964008407,83.19415244903377,95.02666438699124,-16.805847550966234,-4.973335613008757
Mishandeling,7,2016,46248,0,271.69394326643163,80.60194181147028,96.88414322250411,-19.398058188529717,-3.1158567774958925
Mishandeling,7,2017,44085,0,257.47250655310893,76.3829467147755,94.76564087430661,-23.6170532852245,-5.234359125693388
Mishandeling,7,2018,42331,0,245.8253375001347,72.92764538935882,95.47634455853182,-27.072354610641185,-4.523655441468179
Mishandeling,7,2019,41787,0,241.04755980301923,71.51024846360768,98.05643399264615,-28.48975153639232,-1.9435660073538514
Mishandeling,7,2020,37582,1,215.54781679045436,63.945380517726846,89.42128141292827,-36.054619482273154,-10.578718587071734
Mishandeling,7,2021,35759,1,204.12161084824817,60.555631098188094,94.69899249626164,-39.444368901811906,-5.3010075037383615
Mishandeling,7,2022,40591,0,229.35460254654842,68.04136340470946,112.36174435104739,-31.958636595290542,12.361744351047392
Mishandeling,7,2023,39268,0,219.73892097378567,65.18873225184853,95.80750442066616,-34.811267748151465,-4.192495579333837
Overige vermogensdelicten,1,2012,151663,0,905.452201298811,100,NA,0,NA
Overige vermogensdelicten,1,2013,146248,0,870.6406161544899,96.1553370686618,96.1553370686618,-3.844662931338206,-3.844662931338206
Overige vermogensdelicten,1,2014,133381,0,791.0979862576175,87.3704857222546,90.86389625972171,-12.6295142777454,-9.136103740278287
Overige vermogensdelicten,1,2015,118279,0,698.725378578396,77.1686652896885,88.32349351359102,-22.831334710311495,-11.676506486408982
Overige vermogensdelicten,1,2016,108948,0,640.0387418048606,70.6871926410657,91.60090093007108,-29.312807358934293,-8.399099069928923
Overige vermogensdelicten,1,2017,93906,0,548.4453487666157,60.57143027317259,85.68939861672146,-39.42856972682741,-14.310601383278538
Overige vermogensdelicten,1,2018,86966,0,505.0305048554656,55.77660578118126,92.08401639128046,-44.22339421881874,-7.915983608719543
Overige vermogensdelicten,1,2019,88449,0,510.2164696440818,56.349354379194196,101.02686169226557,-43.650645620805804,1.0268616922655696
Overige vermogensdelicten,1,2020,77472,1,444.3329376400958,49.07304184613276,87.08714125791641,-50.92695815386724,-12.912858742083586
Overige vermogensdelicten,1,2021,68667,1,391.9689770999373,43.289858541144845,88.2151521743426,-56.710141458855155,-11.784847825657394
Overige vermogensdelicten,1,2022,82918,0,468.51826596917306,51.74411915914664,119.52942537330412,-48.25588084085336,19.52942537330412
Overige vermogensdelicten,1,2023,83379,0,466.5786770875337,51.52990698109272,99.5860163791849,-48.47009301890728,-0.4139836208151024
Vernieling cq. zaakbeschadiging,3,2012,134126,0,800.7535255889989,100,NA,0,NA
Vernieling cq. zaakbeschadiging,3,2013,118127,0,703.2312514665597,87.82118704370285,87.82118704370285,-12.17881295629715,-12.17881295629715
Vernieling cq. zaakbeschadiging,3,2014,110272,0,654.0358607342876,81.67754993688074,93.00437933756824,-18.322450063119263,-6.995620662431762
Vernieling cq. zaakbeschadiging,3,2015,102048,0,602.8418183546374,75.28431647069098,92.17259397333741,-24.71568352930902,-7.827406026662587
Vernieling cq. zaakbeschadiging,3,2016,94731,0,556.5178805477499,69.49927321748599,92.31573915470537,-30.500726782514008,-7.684260845294631
Vernieling cq. zaakbeschadiging,3,2017,81682,0,477.0527227009424,59.57547578077081,85.72100544755286,-40.42452421922919,-14.278994552447145
Vernieling cq. zaakbeschadiging,3,2018,72120,0,418.81654911317275,52.302804262411435,87.79250786830178,-47.697195737588565,-12.207492131698217
Vernieling cq. zaakbeschadiging,3,2019,76909,0,443.6481866822314,55.40383807313287,105.92900104392692,-44.59616192686713,5.929001043926917
Vernieling cq. zaakbeschadiging,3,2020,78420,1,449.77009719300275,56.16835678146678,101.37990206982548,-43.83164321853322,1.3799020698254765
Vernieling cq. zaakbeschadiging,3,2021,72041,1,411.2286408210142,51.35520827317402,91.43085398239585,-48.64479172682598,-8.569146017604155
Vernieling cq. zaakbeschadiging,3,2022,71057,0,401.49910061713416,50.1401602099484,97.63403147590715,-49.8598397900516,-2.3659685240928496
Vernieling cq. zaakbeschadiging,3,2023,69976,0,391.5771298273817,48.901080958632676,97.52876886286877,-51.098919041367324,-2.4712311371312268
Winkeldiefstal,8,2012,42343,0,252.79443608260127,100,NA,0,NA
Winkeldiefstal,8,2013,43100,0,256.58204253226376,101.49829502118666,101.49829502118666,1.4982950211866637,1.4982950211866637
Winkeldiefstal,8,2014,41840,0,248.15783166282094,98.16585978250514,96.71675742140702,-1.8341402174948627,-3.2832425785929757
Winkeldiefstal,8,2015,40239,0,237.7092341718824,94.03262107169569,95.7895354658259,-5.9673789283043135,-4.210464534174093
Winkeldiefstal,8,2016,39095,0,229.67208770111455,90.85330012012945,96.61891701482814,-9.146699879870553,-3.381082985171858
Winkeldiefstal,8,2017,37610,0,219.65614089741246,86.89120864418045,95.63902305066499,-13.108791355819548,-4.3609769493350115
Winkeldiefstal,8,2018,37491,0,217.71840325571213,86.1246816304818,99.11783133684148,-13.875318369518197,-0.8821686631585237
Winkeldiefstal,8,2019,39229,0,226.29178269587769,89.51612472275151,103.93782946777175,-10.483875277248487,3.937829467771749
Winkeldiefstal,8,2020,34343,1,196.97085498468877,77.91740120432398,87.04286679707037,-22.08259879567602,-12.957133202929626
Winkeldiefstal,8,2021,30714,1,175.32344740046128,69.35415593687111,89.00984230082656,-30.64584406312889,-10.990157699173437
Winkeldiefstal,8,2022,40142,0,226.81758161719463,89.72411938017551,129.37093411077763,-10.275880619824491,29.370934110777625
Winkeldiefstal,8,2023,44844,0,250.94153438291852,99.26703224628041,110.63583898290497,-0.732967753719592,10.635838982904971
